"Brnd_Name","Year","Tot_Spndng"
"1st Tier Unifine Pentips","2024 (Q1-Q4)",10454.6
"1st Tier Unifine Pentips","2025 (Q1-Q3)",4629.74
"1st Tier Unifine Pentips Plus","2024 (Q1-Q4)",26074.56
"1st Tier Unifine Pentips Plus","2025 (Q1-Q3)",9847.57
Abacavir,"2024 (Q1-Q4)",3054065.8
Abacavir,"2025 (Q1-Q3)",1655638.5
Abacavir-Lamivudine,"2024 (Q1-Q4)",5785644.0
Abacavir-Lamivudine,"2025 (Q1-Q3)",3033715.2
Abigale,"2025 (Q1-Q3)",24272.04
Abigale Lo,"2025 (Q1-Q3)",22891.14
Abilify,"2024 (Q1-Q4)",7075287.5
Abilify,"2025 (Q1-Q3)",5016981.0
Abilify Asimtufii,"2024 (Q1-Q4)",63138032
Abilify Asimtufii,"2025 (Q1-Q3)",76701520
Abilify Maintena,"2024 (Q1-Q4)",644233408
Abilify Maintena,"2025 (Q1-Q3)",499416864
Abilify Mycite,"2024 (Q1-Q4)",90322.38
Abiraterone Acetate,"2024 (Q1-Q4)",692896320
Abiraterone Acetate,"2025 (Q1-Q3)",450801120
Abirtega,"2025 (Q1-Q3)",29711.54
Abraxane,"2024 (Q1-Q4)",7163424.0
Abraxane,"2025 (Q1-Q3)",3022501.2
Abrilada(Cf),"2025 (Q1-Q3)",86001.31
Abrilada(Cf) Pen (2 Pack),"2025 (Q1-Q3)",275917.62
Abrysvo,"2024 (Q1-Q4)",467556544
Abrysvo,"2025 (Q1-Q3)",206279232
Absorica,"2024 (Q1-Q4)",40179.85
Absorica,"2025 (Q1-Q3)",43938.4
Absorica Ld,"2024 (Q1-Q4)",22718.74
Absorica Ld,"2025 (Q1-Q3)",31312.72
Acamprosate Calcium,"2024 (Q1-Q4)",6425337.5
Acamprosate Calcium,"2025 (Q1-Q3)",3625045.8
Acanya,"2024 (Q1-Q4)",5561.11
Acarbose,"2024 (Q1-Q4)",6473892.0
Acarbose,"2025 (Q1-Q3)",4892889.0
Accutane,"2024 (Q1-Q4)",69836.18
Accutane,"2025 (Q1-Q3)",42042.05
Acebutolol HCl,"2024 (Q1-Q4)",4443327.5
Acebutolol HCl,"2025 (Q1-Q3)",3349778.0
Acetamin-Caff-Dihydrocodeine,"2024 (Q1-Q4)",4691.71
Acetaminophen,"2024 (Q1-Q4)",125890.89
Acetaminophen,"2025 (Q1-Q3)",89990.95
Acetaminophen-Codeine,"2024 (Q1-Q4)",32797630
Acetaminophen-Codeine,"2025 (Q1-Q3)",27130710
Acetazolamide,"2024 (Q1-Q4)",10665762
Acetazolamide,"2025 (Q1-Q3)",8243370.0
Acetazolamide ER,"2024 (Q1-Q4)",4635176.5
Acetazolamide ER,"2025 (Q1-Q3)",3045184.0
Acetic Acid,"2024 (Q1-Q4)",1667990.5
Acetic Acid,"2025 (Q1-Q3)",1359233.6
Acetylcysteine,"2024 (Q1-Q4)",1921559.1
Acetylcysteine,"2025 (Q1-Q3)",1693166.0
